question,answer
Tester le débit votre Fibre sur https://www.nperf.com/fr/,"Des situations se présentent souvent où une simple vérification permet de nous assurer du bon fonctionnement de la connexion internet. Appeler le service client pour y procéder? Pas forcément avec une méthode de vérification simple et à votre portée. Qu’est-ce que nPerf? nPerf est une solution de « Test de débit » capable de déterminer avec précision le débit de votre connexion fibre Orange. Elle est accessible sur les plateformes Android, IOS, Windows… La procédure ci-après décrit la marche à suivre afin d’estimer les débits ascendant et descendant de votre connexion à l’aide de la version Web de nPerf. Que vous possédiez un smartphone, une tablette, un ordinateur, une console de jeu ou même une smart TV vous pourrez, en accédant à internet, faire le test en un clic. Faire le test sur tous les appareils à disposition vous permettra aussi de constater de visu l’impact réel sur le débit de connexions multiples et simultanées. Vous pourrez alors identifier vos pics domestiques et mieux gérer ainsi votre connexion internet. Comment ? Il suffit de suivre les étapes ci-dessous : - Munissez-vous d’un appareil capable de se connecter à internet et connectez-vous sur le réseau Wifi dont vous souhaitez tester le débit. - Ouvrez le navigateur et saisissez dans la barre d’adresse l’url www.nperf.com/fr pour y aller; - La solution se présente sous la forme d’un baromètre avec une graduation représentant différents débits et avec en son centre un bouton où il est inscrit « Lancer le test » - Cliquez sur ce bouton pour démarrer le test et patientez. Comprendre les résultats affichés Ces résultats au nombre de 3 sont : le débit montant, le débit descendant ainsi que la latence. Le débit descendant renvoie à la quantité de données que la connexion testée peut recevoir en une seconde alors que le débit montant est la quantité de données que la connexion peut envoyer. La latence désigne le ping. Plus d’informations sur la fibre Orange RDV https://www.orange.sn/internet-adsl-fibre/new-fibre Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2548124-tester-debit-fibre-https-nperf-com-fr"
Quels sont les frais de rechargement Woyofal via Orange Money?,"Les frais de paiement varient selon le montant de la facture et le type de facture à payer. RDV sur https://www.orange.sn/orange-money pour accéder au simulateur de frais Orange Money. Pour recharger votre compteur Woyofal avec Orange Money, téléchargez l'application Orange Money ou composez le #144#342#. Le montant d'achat de code de recharge Woyofal doit être compris entre 1000F et 1 500 000F. Le code de recharge acheté doit être de (Vingt) 20 Chiffres. les frais s'élèvent à 1% du montant à recharger. Pour acheter un code, vous devez saisir votre numéro de compteur et le code acheté ne pourra être rechargé que sur ce numéro de compteur. Un nouveau client Woyofal reçoit 3 codes qu'il doit recharger dans l'ordre de réception. Vous pouvez aussi acheter un code de recharge Woyofal pour vos proches en ayant leur numéro de compteur Woyofal Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2548119-frais-rechargement-woyofal-via-orange-money"
Comment avoir la dernière version de l'application Orange et Moi?,"Orange et Moi simplifie la vie des abonnés Orange en mettant à leur disposition un outil adapté à leurs besoins. Les utilisateurs peuvent ainsi bénéficier d’une meilleure expérience client. Il est important pour pouvoir utiliser les dernières innovations et fonctionnalités d’Orange et Moi d’avoir une version à jour de l’application installée sur votre appareil. Il s’agit donc de juste télécharger la dernière version de l’application Orange et Moi compatible avec votre smartphone ou votre tablette. Pour ce faire, il vous suffit de suivre ces étapes: Si vous disposez d’un appareil de marque Apple : Rendez-vous sur l’App Store et recherchez-y le nom de l’application ; ● Si vous utilisez Orange et Moi pour la première fois, il vous sera proposé d’installer la dernière version à jour automatiquement ; Appuyez alors sur le bouton d’installation afin de lancer le téléchargement et patientez le temps que la procédure se termine. ● Si vous aviez déjà une version de l’application installée, vous devrez alors sélectionner l’option de mise à jour afin de lancer la procédure. Si vous disposez d’un appareil de marque Android : Rendez-vous sur le Google Play Store et localisez l’application recherchée; ● Si vous utilisez Orange et Moi pour la première fois, il vous sera proposé d’installer la dernière version à jour directement; Si c’est votre première utilisation, appuyez alors sur le bouton d’Installation pour lancer le téléchargement et patientez le temps que la procédure se termine; ● Si vous aviez déjà une version de l’application installée, sélectionnez tout simplement l’option de mise à jour afin de lancer la procédure. Voila ! Vous avez désormais accès aux dernières nouveautés. NB : Afin de vous rapprocher encore plus de l’essentiel, lorsque vous ne pouvez pas installer l’application Orange et Moi sur votre appareil, une version web a été mise à votre disposition. Merci de vous référer à cet article pour plus de précisions. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2548113-derniere-version-application-orange"
Rechargement cartes prépayées UBA par Orange Money,"Vous pouvez recharger votre carte prépayée à partir de votre kalpé Orange Money. Il suffit juste de s’inscrire pour bénéficier de ce service. L’inscription se fait dans les agences UBA ou via Leo Messenger m.me/ubachatbanking. Une fois l’inscription effective, vous pourrez démarrer vos transferts en toute sécurité, simplement au #144# puis choisir 8 banque-assurance ensuite 2: Rechargement carte prépayé après 1: UBA et partenaires. Les opérations de rechargement de votre carte prépayée UBA à partir de votre kalpe Orange Money sont désormais facturées à 1% du montant. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2541352-rechargement-cartes-prepayees-uba-orange-money"
Astuces Orange: comment changer de IPhone sans perte vos données,"Vous vous êtes acheté(e) un téléphone IOS il y a quelque temps. N’empêche, Santa a été généreux avec vous et vous a apporté pour Noël le dernier Iphone. Si vous appréhendiez désormais le moment où vous allez devoir migrer vos données de l’ancien téléphone vers le nouveau (craignant d’en perdre) et que vous vous demandiez comment le faire avec succès, ces lignes vous aideront à le réussir. Le principe est de sauvegarder les données de l’ancien téléphone sur un support externe et ensuite de restaurer ces données sur le nouvel appareil. La particularité des IPhone étant de ne posséder qu’une mémoire interne verrouillée il n’est pas possible d’utiliser une carte mémoire comme périphérique de stockage. Ici le support de sauvegarde que nous privilégierons est l’iCloud qui ne requiert qu’une connexion internet et sera plus simple d’usage si vous ne possédez pas d’ordinateur. 1/ Pour sauvegarder les données sur l’iCloud, il faut: - Ouvrir le « menu Réglages », taper sur le nom de votre appareil, puis taper sur « iCloud » et Cliquer sur « Sauvegarde iCloud » ; - Activer la « Sauvegarde iCloud ». Une fois cela fait, à chaque fois que votre appareil sera en charge et connecté à un réseau Wifi une sauvegarde de vos données sera enregistrée automatiquement sur le Cloud et ce de manière quotidienne. NB : Il vous est possible de faire une sauvegarde manuelle en touchant simplement « Sauvegarder maintenant ». Au niveau d’ « iCloud », vous avez aussi un bouton qui vous donne la possibilité de gérer les sauvegardes effectuées en appuyant sur « Gérer le stockage » et enfin sur « Sauvegardes ». A ce niveau, sélectionnez une sauvegarde et supprimez la par exemple si c’est votre but. 2/ Pour ensuite installer ou restaurer ces données (contenu, réglages ou applications) sur un nouvel appareil : - Après avoir allumé le nouvel appareil puis défini la langue et la région, choisissez «Configurer manuellement » ; - Tapez sur « Restaurer à partir d’iCloud ». Munissez-vous de votre identifiant Apple et laissez-vous guider par les instructions à l’écran. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2541038-astuces-orange-changer-iphone-perte-donnees"
TVO Orange: comment changer de formule Canal gratuitement,"Dans le but de répondre encore plus aux attentes des sénégalais, Orange a mis en place une offre TV. La Livebox ne permet pas donc seulement d’accéder à internet. Les usagers de la TV d’Orange (TVO) peuvent jouer aux jeux vidéo ou tout simplement regarder des émissions, programmes télé, films entre autres choses en souscrivant à l’un des bouquets disponibles. Les utilisateurs de la TVO ont à leur disposition : le bouquet Orange, le bouquet Canal + et la Vidéo à la Demande. A la différence du bouquet Orange qui permet seulement d’accéder aux chaînes locales ainsi qu’à quelques chaînes étrangères, le bouquet Canal + met littéralement à portée de votre Livebox des chaînes supplémentaires en fonction de la formule pour laquelle vous opterez. Avec le bouquet Canal+, les abonnés de la TVO peuvent avoir accès à entre 150 à 224 chaînes, radio et services. Le bouquet Canal + comprend: - L’offre Access donnant accès à 150 chaînes, radios et services pour 5 000 FCFA /MOIS - L’offre Evasion qui contient 184 chaînes, radios et services accessible contre 10 000 FCFA /MOIS - L’offre Essentiel+ qui vient avec 130 chaînes, radios et services pour 12 000 FCFA /MOIS - L’offre Access+ qui en la comparant à l’offre Access simple donne accès à de 19 chaînes, radios et services en plus pour la somme de 15 000 FCFA /MOIS - L’offre Evasion+ avec, comparée à l’offre Evasion, une vingtaine de chaînes, radios et services supplémentaires soit 20 000 FCFA /MOIS - L’offre Tout Canal+ avec 224 chaînes, radios et services à 40 000 FCFA /MOIS Comme lorsque vous avez songé à passer de l’ADSL à la fibre, vous aspirez toujours à mieux. Vus les avantages de l’offre Evasion+ par exemple vous souhaitez maintenant changer d’offre c’est-à-dire vous voulez migrer de l’offre Evasion vers l’offre Evasion+. Orange vous permet de le faire simplement en faisant votre demande au https://www.orange.sn/internet-adsl-fibre/tv-orange ou en vous rendant en agence muni(e) de votre carte d’identité. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2541037-tvo-orange-changer-formule-canal-gratuitement"
Qu'est-ce qu'un amplificateur Réseau Wifi? Comment fonctionne le répétiteur?,"Le Wifi est un protocole créé pour relier des appareils via un même réseau informatique afin de leur permettre d’échanger des données entre eux. Développé en 1999 par la WIFI Alliance, il s’est vite imposé comme une technologie sans fil plus performante que le Bluetooth. Il présente, comme avantages notamment, de permettre un échange plus important de données et sur une plus grande portée. Ceci explique sa popularité dans nos foyers et bureaux. Cependant selon la taille du logement ou des locaux, le signal Wifi peut vite perdre en puissance. Cela se produit quand de nombreux terminaux sont connectés au réseau wifi et que les murs des pièces freinent la propagation du signal par exemple. Il peut alors être utile de posséder un appareil capable de fournir à chacun des appareils connectés au Wifi un bon signal. On confond souvent répéteur wifi et amplificateur wifi. Tous deux agissent en complément au routeur auquel ils sont associés. Ils ont la même finalité mais interviennent différemment dans l’amélioration de la qualité du signal fourni. L’amplificateur est un appareil qui se place à côté du routeur ou modem wifi. L’amplificateur a pour effet de renforcer le signal du routeur et d’étendre sa portée. Ce qui peut permettre à un appareil initialement hors de portée du signal du modem de pouvoir grâce à l’action de l’amplificateur d’avoir accès désormais au réseau. Le répéteur Wifi est, quant à lui, un appareil qui « fait écho au signal Wifi existant ». La norme minimale exigée sur un répéteur Wifi est la norme « 802.11 n » permettant un accès à un débit pouvant atteindre 450 Mbps. Elle est rétro-compatible avec la norme « b » et la norme « g ». L’idéal est de le positionner à la limite du signal du routeur c’est-à-dire, suite à test ou vérification, là où le signal commence à faiblir. Plus d’informations sur nos offres Wifi RDV https://www.orange.sn/internet-adsl-fibre/new-fibre Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2541035-amplificateur-reseau-wifi-fonctionne-repetiteur"
Divertissement grâce au Service à valeur ajoutée Orange,"Qu’est qu’un téléphone ? Un téléphone est un appareil capable d’émettre un appel et en plus pour ceux portables qui a la capacité d’envoyer ou de recevoir des sms. Le téléphone portable est devenu un accessoire de la vie de tous les jours. Et nous passons tellement de temps avec, qu’il est assimilable à une sorte de compagnon. Nous faisons désormais bien plus avec nos appareils. Surfer sur Internet, Regarder des films en streaming, Faire des recherches, S’informer…et beaucoup d’autres choses. Les services à valeur ajoutée désignent les usages faits avec un téléphone et autres que les fonctionnalités de base d’appel ou de messagerie. Ces services à valeur ajoutée ont été conçus en réponse à vos attentes : - Vous êtes fan de musique et vous ne manquez pas de vous tenir au courant de ce que fait votre artiste préféré ; alors Hello Star est le service qui vous permet de suivre l’actualité de cet artiste ; - A propos d’actualité, saviez-vous que vous pouvez recevoir sur votre mobile toutes les actualités locales, nationales et panafricaines qui touchent au continent et ce en temps réel en souscrivant à APA News, Jeune Afrique et BBC News ; - Vous faites attention à votre tour de taille et souhaitez recevoir des conseils diet adaptés à nos habitudes alimentaires locales ou gagnez des cours de sport ; pourquoi ne pas souscrire alors à Nutrifit ? - Vous êtes une femme et vous souhaitez être belle et rayonnante, disons le « djongué » en toute circonstance, entre autres choses alors les Services Conseils de Femmes et Astuce Beauté sont faits pour vous. Les Services à Valeur Ajoutée d’Orange ne se limitent pas à ceux-là. A côté de ceux destinés au Grand Public, d’autres ont été élaborés spécifiquement pour les professionnels et entreprises. Orange a donc mis en place des services « magiques » à valeur ajoutée renouvelés en continu pour être plus en phase avec vos attentes et vous simplifier ainsi la vie. Quoi de mieux qu’un portail magique alors pour y accéder ? Rendez-vous sur https://www.orange.sn/services-portail-magique pour en savoir plus et au besoin sollicitez l’assistance d’Ibou pour avoir une connaissance exhaustive des services à Valeur Ajoutée d’Orange. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2541030-divertissement-grace-service-valeur-ajoutee-orange"
Orange Money: 4 Raisons d'utiliser Orange Money,"Orange Money contribue considérablement à l’inclusion financière des sénégalais. Quatre bonnes raisons d’avoir un Kalpé Orange Money Sénégal. 1- Réseau de distribution accessible : Un large réseau de distribution « Fo dèm fek kofa ». Les points Orange Money sont disponibles dans les zones les plus reculées du Sénégal avec plus de 40 000 points de vente partout au Sénégal. 2- Autonomie sur la prise en charge de vos besoins d’assistance. Vous pouvez ouvrir ou déplafonner un compte Orange Money vous-même via l’application Orange Money Sénégal disponible sur Apple Store et Play Store. En cas d’erreur sur le numéro destinataire de vos transferts d’argent, RDV sur https://www.orange.sn/orange-money pour faire une demande de correction en quelques minutes. 3- Transferts internationaux Avec Orange Money, vous pouvez effectuer un transfert d’argent vers l’international, Cote d’Ivoire, Mali, Burkina Faso, le Niger, Guinée Bissau. Vous pouvez également recevoir des transferts venant de la France et du monde entier via le réseau RIA. 4- Un service client disponible 24H/7J Vous pouvez nous contacter 24H/7J sur nos différents réseaux sociaux la prise en charge de vos demandes d’assistance. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538289-orange-money-4-raisons-utiliser-orange-money"
Wifi Orange Senegal: Comment contacter le service client pour une assistance,"En tant que client d’un abonnement Wifi (ADSL ou Fibre), vous pouvez bénéficier d’une assistance technique ou commerciale disponible 24H7J sur internet. Vous pouvez commencer par effectuer les premières vérifications sur les FAQ dédiées sur https://bit.ly/3oArdco Si le souci persiste, il suffit de nous contacter sur les canaux ci-dessous en précisant la nature de votre préoccupation, le numéro de la ligne fixe, votre numéro mobile. Facebook : facebook.com/orange.sn Twitter @Orange_sn Application Orange et Moi : http://onelink.to/6h78t2 Email : serviceclient@orange-sonatel.com Par Code USSD #1413# le Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538284-wifi-orange-senegal-contacter-service-client-assistance"
Orange Money: comment déplafonner un compte avec l'application?,"Avec l’application Orange Money, vous pouvez déplafonner votre compte sans vous déplacer. Il suffit de vous munir de votre pièce d’identité et suivre les étapes du parcours de déplafonnement de compte qui vous est proposé au niveau du menu latéral de l’application. Ensuite, vous scannez le recto et le verso de votre carte nationale d'identité ou la 1ère et 2ème page de votre passeport. Par la suite, vous remplir le formulaire, prendre une photo (selfie), puis saisir le code reçu par SMS qui confirme votre demande de déplafonnement. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2Télécharger l'application Orange Money sur https://bit.ly/2NC1jpb Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538283-orange-money-deplafonner-compte-application"
Application Orange Money: Comment changer le code secret Orange Money,"L’application Orange Money vous permet d’effectuer vos transactions de façon simple et sécurisée.Vous pouvez effectuer· Calculer les frais de vos transactions· Transfert d’argent national et international· Paiement de factures (eau, Canal, électricité, téléphone…)· Paiement marchand· Achat de crédit et pass Orange· Paiement de salaires, effectuer des dons ou des cotisations· Ouvrir ou déplafonner un compte Orange Money· Changer le code secret de votre compte. Le changement du code secret de votre compte devient plus simple, rendez-vous sur la page d’accueil, Appuyer sur le menu latérale è choisir Changer de Code è Renseigner le code secret et suivre les instructions.Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2Télécharger l'application Orange Money sur https://bit.ly/2NC1jpb Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538277-application-orange-money-changer-code-secret-orange-money"
Orange et Moi: tout Orange à Portée Main,"Avec votre application Orange et Moi Sénégal, en un seul Clic vous pouvez suivre votre consommation, recharger votre ligne (Mobile Fly Box), Consulter vos factures, acheter des forfaits pour vous ou votre entourage et bien plus encore. Elle est disponible sur Apple Store et Play Store. Il vous suffit de rechercher Orange et Moi Sénégal ou sur www.orangeetmoi.sn Quelques avantages Votre espace client Orange et Moi est une application 100% gratuite. Vous y accédez sans pass internet. Elle est disponible au Sénégal et à l’étranger (Si le compte est déjà créé) Vous bénéficiez d’une assistance de Ibou l’expert Orange via un tchat en direct Vous accédez directement aux services Internet : SOS data, Transfert Data Vous suivez l’état d’avancement de vos demandes et réclamations. Vous accédez à vos factures fixes et mobiles. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538268-orange-orange-portee-main"
Orange et Moi: Votre espace client pour gérer votre abonnement Fixe,"Avec votre application Orange et Moi vous vous pouvez désormais gérer votre abonnement fixe (ADSL et Fibre) Orange.Vous pouvez :· Suivre la consommation de votre crédit· Consulter et télécharger vos factures Orange· Faire une réclamation sur vos factures· Suivre l’état d’avancement de vos demandes ou réclamations· Contacter le service client pour vos besoins d’assistance.Pour ce faire, il faut rattacher votre ligne fixe à votre compte Orange et Moi. Pour ce faire, il faut au préalable rattacher votre abonnement Fixe à votre compte Orange et Moi.Allez dans le menu latéral en haut et à droit de la page d’accueil de l’application Orange et Moi. Appuyer sur mon compte puis Rattacher une ligne Renseigner le numéro de la ligne Fixe à rattacher ou le numéro client : Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538264-orange-espace-client-gerer-abonnement-fixe"
Service Client Orange: Comment contacter le service client sur Orange et Moi Sénégal,"Le service assistance en ligne devient plus proche de vous. En plus de Facebook, Twitter, Instagram, mail, vous pouvez contacter Ibou sur l’application Orange et Moi-même quand vous n’avez pas de pass internet en cours de validité.Pour ce faire, il faut :Appuyer sur le bonhomme en bas à droite è Appuyer sur Besoin d’aide è Contacter L’assistance è Démarrer le Chat. Ibou y est disponible 24H/7J pour vos demandes d’assistance. Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2Télécharger l'application Orange Money sur https://bit.ly/2NC1jp Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538242-service-client-orange-contacter-service-client-orange-senegal"
Orange Money: comment ouvrir un compte avec l'application?,"Avec l’application Orange Money, vous pouvez créer votre compte sans vous déplacer. Il suffit de vous munir de votre pièce d’identité, vous suivez suit les étapes du parcours de création de compte qui vous est proposé à l’ouverture de l’application. Ensuite, vous scannez le recto et le verso de votre CNI ou la 1ère et 2ème page de votre passeport. Par la suite, remplir le formulaire, prendre une photo (selfie), puis saisir le code reçu par SMS qui confirme votre demande d’ouverture de compte.Après la création du compte, vous devez créer votre code secret Orange Money en suivant les instructions suivantes.Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2Télécharger l'application Orange Money sur https://bit.ly/2NC1jpb Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538240-orange-money-ouvrir-compte-application"
Orange Money Sénégal: Corriger erreur transfert sans formulaire physique,"Les applications Orange Money et Orange et Moi vous permettent de réduire les risques d’erreur sur les numéros bénéficiaires de vos transferts. Vous choisissez directement le bénéficiaire sur la liste de contact pour continuer à vous garantir une expérience client incomparable avec Orange Money. En cas d'erreur, Vous pouvez annuler directement le transfert en composant le #144#25# et suivre les instructions si les fonds sont toujours disponibles dans le compte du bénéficiaire. Ou alors utiliser l’application Orange Money rubrique « annuler un transfert ». Le montant de la transaction sera retourné instantanément dans votre compte Orange money si vous êtes déplafonné. Au cas où votre compte est plafonné, il faudra vous connecter par la suite sur le site https://www.orange.sn/orange-money dans un délai de 5 jours suivant le blocage afin de valider la correction. Si vous n’y arrivez pas, nous vous invitons à renseigner le formulaire en pièce jointe et nous le retourner avec une copie recto verso de votre pièce d’identité. (Joindre le formulaire de correction de transfert) Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Télécharger l'application Orange Money sur https://bit.ly/2NC1jpb FORMULAIRE DE CORRECTION DES ERREURS CLIENTS ORANGE MONEY _CONFORME.PDF FORMULAIRE DE COR... 190 ko 6 décembre 2021 Traité Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2538224-orange-money-senegal-corriger-erreur-transfert-formulaire-physique pièces jointes: https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/a260a93ed9835bf9/formulaire_de_correction_des_erreurs_clients_orange_money_conforme_original.pdf?41fef3c"
SMS Alerte Orange: Comment se désactiver le service,"Pour vous désabonner des SMS alerte de Orange, il faut composer le #111#5# choisir le service concerné et confirmer votre choix pour désactiver la réception des SMS de ce service. Si vous avez besoin d’assistance, contactez le service client sur Messenger http://bit.ly/2MZOgvF . Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2533075-sms-alerte-orange-desactiver-service"
Flash SOS Orange: Comment désactiver ?,"Pour désactiver le service Flash SOS de Orange, il faut composer le #111#5# prendre l’option 10 ensuite 9 pour confirmer votre choix. Si vous avez besoin d’assistance, contactez le service client sur Messenger http://bit.ly/2MZOgvF . Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2533074-flash-sos-orange-desactiver"
SMS Suivi Conso Orange: Comment désactiver?,"Pour désactiver les messages de suivi Conso, il faut composer le #111#5# prendre l’option 4 pour confirmer votre choix. Si vous avez besoin d’assistance, contactez le service client sur Messenger http://bit.ly/2MZOgvF . Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2533073-sms-suivi-conso-orange-desactiver"
Service FFC orange : Comment se désabonner ?,"Pour désactiver les SMS FFC de Orange, il faut composer le #111#52# choisir le service confirmer votre choix pour désactiver la réception des SMS de Orange Foot. Si vous avez besoin d’assistance, contactez le service client sur Messenger http://bit.ly/2MZOgvF . Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2533072-service-ffc-orange-desabonner"
Comment désactiver les SMS de Jeu Orange?,"Pour désactiver les SMS Jeu (Megawin Paris Sportif) de Orange, il faut composer le #111#56# choisir le service concerné et confirmer votre choix pour désactiver la réception des SMS de ce service. Si vous avez besoin d’assistance, contactez le service client sur Messenger http://bit.ly/2MZOgvF . Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2533071-desactiver-sms-jeu-orange"
Partenariat Orange Money – ACEP,"OFMS (Orange Money) et ACEP vous proposent l’offre Pass Money (approvisionnement de votre kalpé Orange Money à partir de son compte bancaire ouvert chez ACEP et vice versa 7j/7 et 24h/24).Vous pouvez aussi disposer du solde de votre compte bancaire.Il suffit juste de faire le code#144# option 8 banque-assurance puis 1 Virement bancaire puis 2 Mirco-Finance choisir et enfin 3 ACEP.Le service est gratuit pour les opérations approvisionnement du Kalpé via le compte bancaire. Une facturation par palier est appliquée selon le montant à transférer pour les opérations de compte ACEP vers Orange Money ou Orange Money vers ACEP.Plus d'information sur https://www.orange.sn/orange-money Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2526291-partenariat-orange-money-acep"
Orange Sargal : Comment convertir vos points en numéros favoris via Orange et Moi?,"Avec votre application Orange et Moi, vous convertissez facilement vos points Sargal en cadeaux numéros favoris.Télécharger l’application Orange et Moi sur http://onelink.to/6h78t2 Sur la page d’accueil de votre espace client, défilez jusqu’à la rubrique Sargal et appuyer dessus.Ensuite, appuyez sur « En numéro illimité » puis préciser la formule selon le nombre de points que vous détenez et confirmez le choix.Gérez votre abonnement en toute simplicité avec notre application Orange et Moi disponible sur http://onelink.to/6h78t2 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2526011-orange-sargal-convertir-points-numeros-favoris-via-orange"
C'est quoi l'application Max it d'Orange?,"Max it est la nouvelle application d'Orange qui vous permettra d'accéder à tout l'univers des offres et services mobiles et financiers au même endroit. C'est une fusion des applis Orange et Moi et Orange Money, elle intègre également les services d'assistance d'Ibou (Care) et la boutique en ligne. Avec l'application Max it vous avez la possibilité d'accéder aux offres et services mobiles de Orange. Vous pouvez également gérer votre compte fixe (Wifi) ainsi que tous les services de Orange Money."
Comment télécharger l'application Max it ?,"L'application Max It est accessible à tous. Tous les clients Orange Prépayés, Kirène et Postpayés et ceux des autres opérateurs (Free, Expresso, ProMobile …) peuvent télécharger Max it sur le Playstore Android ou L'app store iOS sur les stores ou en cliquant sur Télécharger."
Max It d'Orange : Tout l'univers des offres et services au bout de vos doigts !,"Découvrez Max It, la toute nouvelle application révolutionnaire d'Orange, conçue pour simplifier votre expérience mobile, Fixe (Wifi) et Orange Money. Avec Max It, Orange fusionne les fonctionnalités puissantes de ses applications phares, Orange et Moi, Orange Money, les services d'assistance d'Ibou, et la boutique en ligne dans une seule plateforme conviviale. Les fonctionnalités clés de Max It : Accès centralisé : Max It vous offre un point d'accès unique à l'univers complet des offres et services mobiles et financiers d'Orange. Plus besoin de jongler entre différentes applications, Max It a tout rassemblé pour vous. Gestion complète du compte : Suivez et gérez votre compte Orange en toute simplicité. Consultez votre solde, gérez votre forfait mobile ou fixe, et restez informé sur votre consommation, le tout à partir d'une seule application. Services Orange Money : Max It intègre les services financiers d'Orange Money, vous permettant d'effectuer des transactions en toute sécurité, de recharger votre crédit mobile, payer des services et bien plus encore, directement depuis l'application. Assistance personnalisée avec Ibou : Besoin d'aide ? Max It intègre les services d'assistance d'Ibou, vous offrant un support personnalisé pour répondre à toutes vos questions et résoudre vos problèmes rapidement."
Est-ce que l'utilisation de l'application Max it est payante ?,L'application Max It est accessible à tous. L'utilisation de l'application Max it est totalement gratuite. Vous pouvez l'utiliser avec ou sans connexion (pass internet) pour accéder à vos offres et services. Il vous suffit juste d'être connecté sur un réseau internet mobile ou Wifi.
